table,variable,value,label,val_order
hh,broadband,,"Yes, my current residence has broadband service",1
hh,broadband,,"Broadband service is available where I live, but I DO NOT have broadband service at my residence",2
hh,broadband,,Broadband service is not available where I live,3
hh,broadband,,Don't know,4
hh,broadband,,Missing Response,5
hh,broadband,,N/A,6
hh,displaced,,Displaced,7
hh,displaced,,No Data,8
hh,displaced,,Not Displaced,9
hh,hh_race_category,,AANHPI non-Hispanic,10
hh,hh_race_category,,Black or African American non-Hispanic,11
hh,hh_race_category,,Hispanic,12
hh,hh_race_category,,Some Other Races non-Hispanic,13
hh,hh_race_category,,White non-Hispanic,14
hh,hh_race_category,,Missing Response,15
hh,hhgroup,,"Signup survey completed via browserMove, Diary completed via browserMove",16
hh,hhgroup,,"Signup survey completed via browserMove, Diary completed via call center",17
hh,hhgroup,,"Signup survey completed via browserMove, Diary completed via rMove",18
hh,hhgroup,,"Signup survey completed via call center, Diary completed via browserMove",19
hh,hhgroup,,"Signup survey completed via call center, Diary completed via call center",20
hh,hhgroup,,"Signup survey completed via call center, Diary completed via rMove",21
hh,hhgroup,,"Signup survey completed via rMove, Diary completed via browserMove",22
hh,hhgroup,,"Signup survey completed via rMove, Diary completed via call center",23
hh,hhgroup,,"Signup survey completed via rMove, Diary completed via rMove",24
hh,hhgroup,,rMove,25
hh,hhgroup,,rSurvey,26
hh,hhincome_broad,,"Under $25,000",27
hh,hhincome_broad,,"$25,000-$49,999",28
hh,hhincome_broad,,"$50,000-$74,999",29
hh,hhincome_broad,,"$75,000-$99,999",30
hh,hhincome_broad,,"$100,000 or more",31
hh,hhincome_broad,,"$100,000-$199,999",32
hh,hhincome_broad,,"$200,000 or more",33
hh,hhincome_broad,,Prefer not to answer,34
hh,hhincome_detailed,,"Under $10,000",35
hh,hhincome_detailed,,"$10,000-$24,999",36
hh,hhincome_detailed,,"$25,000-$34,999",37
hh,hhincome_detailed,,"$35,000-$49,999",38
hh,hhincome_detailed,,"$50,000-$74,999",39
hh,hhincome_detailed,,"$75,000-$99,999",40
hh,hhincome_detailed,,"$100,000-$149,999",41
hh,hhincome_detailed,,"$150,000-$199,999",42
hh,hhincome_detailed,,"$200,000-$249,999",43
hh,hhincome_detailed,,"$250,000 or more",44
hh,hhincome_detailed,,Prefer not to answer,45
hh,hhincome_followup,,"Under $25,000",46
hh,hhincome_followup,,"$25,000-$49,999",47
hh,hhincome_followup,,"$50,000-$74,999",48
hh,hhincome_followup,,"$75,000-$99,999",49
hh,hhincome_followup,,"$100,000 or more",50
hh,hhincome_followup,,"$100,000-$199,999",51
hh,hhincome_followup,,"$200,000 or more",52
hh,hhincome_followup,,Prefer not to answer,53
hh,hhincome_followup,,Missing: Skip Logic,54
hh,hhsize,,1 person,55
hh,hhsize,,2 people,56
hh,hhsize,,3 people,57
hh,hhsize,,4 people,58
hh,hhsize,,5 people,59
hh,hhsize,,6 people,60
hh,hhsize,,7 people,61
hh,hhsize,,8 people,62
hh,hhsize,,9 people,63
hh,hhsize,,10 people,64
hh,hhsize,,12 people,65
hh,hhsize,,11 people,66
hh,hhsize,,13 or more people,67
hh,home_county,,King County,68
hh,home_county,,Kitsap County,69
hh,home_county,,Pierce County,70
hh,home_county,,Snohomish County,71
hh,home_in_region,,No,72
hh,home_in_region,,Yes,73
hh,home_jurisdiction,,Algona,74
hh,home_jurisdiction,,Arlington,75
hh,home_jurisdiction,,Auburn,76
hh,home_jurisdiction,,Bainbridge Island,77
hh,home_jurisdiction,,Beaux Arts,78
hh,home_jurisdiction,,Bellevue,79
hh,home_jurisdiction,,Black Diamond,80
hh,home_jurisdiction,,Bonney Lake,81
hh,home_jurisdiction,,Bothell,82
hh,home_jurisdiction,,Bremerton,83
hh,home_jurisdiction,,Brier,84
hh,home_jurisdiction,,Buckley,85
hh,home_jurisdiction,,Burien,86
hh,home_jurisdiction,,Carnation,87
hh,home_jurisdiction,,Clyde Hill,88
hh,home_jurisdiction,,Covington,89
hh,home_jurisdiction,,Des Moines,90
hh,home_jurisdiction,,DuPont,91
hh,home_jurisdiction,,Duvall,92
hh,home_jurisdiction,,Eatonville,93
hh,home_jurisdiction,,Edgewood,94
hh,home_jurisdiction,,Edmonds,95
hh,home_jurisdiction,,Enumclaw,96
hh,home_jurisdiction,,Everett,97
