,hhno,pno,day,tour,half,tseg,tsvid,opurp,dpurp,oadtyp,dadtyp,opcl,otaz,dpcl,dtaz,mode,pathtype,dorp,deptm,arrtm,endacttm,travtime,travcost,travdist
0,17100059,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,6,3,3,530,573,456,44,0,8.69
1,17100059,1,1,-1,-1,-1,2,1,10,-1,-1,-1,-1,-1,-1,6,3,3,1029,1039,0,10,0,0.65
2,17100059,1,1,-1,-1,-1,3,10,10,-1,-1,-1,-1,-1,-1,6,3,3,1039,1048,0,9,0,0.84
3,17100059,1,1,-1,-1,-1,4,10,10,-1,-1,-1,-1,-1,-1,6,3,3,1048,1089,0,41,0,13.7
4,17100059,1,1,-1,-1,-1,5,10,0,-1,-1,-1,-1,-1,-1,6,3,3,1089,1094,836,5,0,0.51
5,17100059,1,2,-1,-1,-1,6,0,9,-1,-1,-1,-1,-1,-1,6,1,3,1930,1970,60,40,0,6.41
6,17100059,1,2,-1,-1,-1,7,9,1,-1,-1,-1,-1,-1,-1,6,1,3,2030,2080,510,50,0,2.51
7,17100059,1,2,-1,-1,-1,8,1,8,-1,-1,-1,-1,-1,-1,3,0,2,2590,2610,187,20,0,10.4
8,17100059,1,2,-1,-1,-1,9,8,0,-1,-1,-1,-1,-1,-1,3,0,3,2797,2834,578,33,0,15.21
9,17100059,1,3,-1,-1,-1,10,0,1,-1,-1,-1,-1,-1,-1,6,3,3,3412,3449,169,37,0,10.01
10,17100059,1,3,-1,-1,-1,11,1,6,-1,-1,-1,-1,-1,-1,1,0,3,3618,3623,37,4,0,0.38
11,17100059,1,3,-1,-1,-1,12,6,1,-1,-1,-1,-1,-1,-1,1,0,3,3660,3667,242,7,0,0.44
12,17100059,1,3,-1,-1,-1,13,1,10,-1,-1,-1,-1,-1,-1,6,3,3,3909,3917,0,8,0,0.52
13,17100059,1,3,-1,-1,-1,14,10,10,-1,-1,-1,-1,-1,-1,6,3,3,3917,3922,0,5,0,0.72
14,17100059,1,3,-1,-1,-1,15,10,0,-1,-1,-1,-1,-1,-1,6,3,3,3922,3973,880,51,0,13.75
15,17100059,1,4,-1,-1,-1,16,0,1,-1,-1,-1,-1,-1,-1,6,3,3,4853,4875,0,22,0,12.6
16,17100059,1,4,-1,-1,-1,17,1,1,-1,-1,-1,-1,-1,-1,6,3,3,4875,4886,128,10,0,0.48
17,17100059,1,4,-1,-1,-1,18,1,6,-1,-1,-1,-1,-1,-1,1,0,3,5014,5033,79,19,0,0.95
18,17100059,1,4,-1,-1,-1,19,6,1,-1,-1,-1,-1,-1,-1,1,0,3,5112,5130,227,18,0,0.84
19,17100059,1,4,-1,-1,-1,20,1,0,-1,-1,-1,-1,-1,-1,6,3,3,5357,5408,87,51,0,8.74
20,17100059,1,4,-1,-1,-1,21,0,6,-1,-1,-1,-1,-1,-1,1,0,3,5495,5499,0,2,0,0.29
21,17100059,1,4,-1,-1,-1,22,6,5,-1,-1,-1,-1,-1,-1,1,0,3,5499,5501,17,3,0,0.14
22,17100059,1,4,-1,-1,-1,23,5,0,-1,-1,-1,-1,-1,-1,1,0,3,5518,5524,0,5,0,0.13
23,17100059,1,4,-1,-1,-1,24,0,6,-1,-1,-1,-1,-1,-1,1,0,3,5524,5529,47,5,0,0.22
24,17100059,1,4,-1,-1,-1,25,6,7,-1,-1,-1,-1,-1,-1,1,0,3,5576,5583,6,7,0,0.29
25,17100059,1,4,-1,-1,-1,26,7,0,-1,-1,-1,-1,-1,-1,1,0,3,5589,5602,62,13,0,0.49
26,17100059,1,4,-1,-1,-1,27,0,6,-1,-1,-1,-1,-1,-1,1,0,3,5664,5671,5,7,0,0.27
27,17100059,1,4,-1,-1,-1,28,6,6,-1,-1,-1,-1,-1,-1,1,0,3,5676,5685,36,8,0,0.26
28,17100059,1,4,-1,-1,-1,29,6,6,-1,-1,-1,-1,-1,-1,1,0,3,5721,5726,84,5,0,0.24
29,17100059,1,4,-1,-1,-1,30,6,0,-1,-1,-1,-1,-1,-1,1,0,3,5810,5818,1057,8,0,0.36
30,17100059,1,5,-1,-1,-1,31,0,6,-1,-1,-1,-1,-1,-1,6,1,3,6875,6902,87,28,0,2.39
31,17100059,1,5,-1,-1,-1,32,6,5,-1,-1,-1,-1,-1,-1,1,0,3,6989,6993,29,2,0,0.22
32,17100059,1,5,-1,-1,-1,33,5,0,-1,-1,-1,-1,-1,-1,6,1,3,7022,7051,929,27,0,2.51
33,17100059,1,6,-1,-1,-1,34,0,6,-1,-1,-1,-1,-1,-1,1,0,3,7980,7985,15,5,0,0.18
34,17100059,1,6,-1,-1,-1,35,6,0,-1,-1,-1,-1,-1,-1,1,0,3,8000,8004,1166,4,0,0.18
35,17100059,1,7,-1,-1,-1,36,0,1,-1,-1,-1,-1,-1,-1,6,3,3,9170,9210,172,40,0,8.72
36,17100059,1,7,-1,-1,-1,37,1,1,-1,-1,-1,-1,-1,-1,6,3,3,9382,9385,284,3,0,0.56
37,17100059,1,7,-1,-1,-1,38,1,0,-1,-1,-1,-1,-1,-1,6,3,3,9669,9732,528,63,0,15.31
38,17100248,1,1,-1,-1,-1,1,0,6,-1,-1,-1,-1,-1,-1,1,0,3,395,398,12,3,0,0.14
39,17100248,1,1,-1,-1,-1,2,6,1,-1,-1,-1,-1,-1,-1,6,1,3,410,428,466,18,0,1.42
40,17100248,1,1,-1,-1,-1,3,1,1,-1,-1,-1,-1,-1,-1,3,0,2,894,912,121,18,0,5.52
41,17100248,1,1,-1,-1,-1,4,1,1,-1,-1,-1,-1,-1,-1,1,0,3,1033,1054,215,20,0,1.09
42,17100248,1,1,-1,-1,-1,5,1,0,-1,-1,-1,-1,-1,-1,3,0,3,1269,1287,623,19,0,3.81
43,17100248,1,2,-1,-1,-1,6,0,1,-1,-1,-1,-1,-1,-1,1,0,3,1910,1929,582,19,0,1.05
44,17100248,1,2,-1,-1,-1,7,1,0,-1,-1,-1,-1,-1,-1,6,1,3,2511,2522,84,11,0,1.06
45,17100248,1,2,-1,-1,-1,8,0,6,-1,-1,-1,-1,-1,-1,1,0,3,2606,2613,16,7,0,0.39
46,17100248,1,2,-1,-1,-1,9,6,0,-1,-1,-1,-1,-1,-1,1,0,3,2629,2636,674,8,0,0.47
47,17100248,1,3,-1,-1,-1,10,0,1,-1,-1,-1,-1,-1,-1,2,0,3,3310,3330,582,20,0,4.02
48,17100248,1,3,-1,-1,-1,11,1,0,-1,-1,-1,-1,-1,-1,2,0,3,3912,3939,9,26,0,5.2
49,17100248,1,3,-1,-1,-1,12,0,4,-1,-1,-1,-1,-1,-1,1,0,3,3948,3954,26,6,0,0.24
50,17100248,1,3,-1,-1,-1,13,4,4,-1,-1,-1,-1,-1,-1,1,0,3,3980,3986,91,6,0,0.33
51,17100248,1,3,-1,-1,-1,14,4,6,-1,-1,-1,-1,-1,-1,1,0,3,4077,4086,0,8,0,0.44
52,17100248,1,3,-1,-1,-1,15,6,0,-1,-1,-1,-1,-1,-1,1,0,3,4086,4090,683,4,0,0.2
53,17100248,1,4,-1,-1,-1,16,0,1,-1,-1,-1,-1,-1,-1,2,0,3,4773,4805,231,12,0,4.01
54,17100248,1,4,-1,-1,-1,17,1,6,-1,-1,-1,-1,-1,-1,1,0,3,5036,5043,21,7,0,0.35
55,17100248,1,4,-1,-1,-1,18,6,1,-1,-1,-1,-1,-1,-1,1,0,3,5064,5085,288,21,0,1.0
56,17100248,1,4,-1,-1,-1,19,1,0,-1,-1,-1,-1,-1,-1,2,0,3,5373,5413,95,39,0,4.87
57,17100248,1,4,-1,-1,-1,20,0,7,-1,-1,-1,-1,-1,-1,1,0,3,5508,5526,166,18,0,0.92
58,17100248,1,4,-1,-1,-1,21,7,0,-1,-1,-1,-1,-1,-1,3,0,3,5692,5702,583,10,0,1.52
59,17100248,1,5,-1,-1,-1,22,0,4,-1,-1,-1,-1,-1,-1,1,0,3,6285,6306,73,21,0,1.33
60,17100248,1,5,-1,-1,-1,23,4,5,-1,-1,-1,-1,-1,-1,6,1,3,6379,6387,20,8,0,0.72
61,17100248,1,5,-1,-1,-1,24,5,0,-1,-1,-1,-1,-1,-1,3,0,3,6407,6413,16,7,0,1.23
62,17100248,1,5,-1,-1,-1,25,0,6,-1,-1,-1,-1,-1,-1,1,0,3,6429,6435,27,7,0,0.3
63,17100248,1,5,-1,-1,-1,26,6,8,-1,-1,-1,-1,-1,-1,1,0,3,6462,6466,27,4,0,0.21
64,17100248,1,5,-1,-1,-1,27,8,5,-1,-1,-1,-1,-1,-1,1,0,3,6493,6502,5,9,0,0.44
65,17100248,1,5,-1,-1,-1,28,5,0,-1,-1,-1,-1,-1,-1,1,0,3,6507,6512,204,5,0,0.26
66,17100248,1,5,-1,-1,-1,29,0,8,-1,-1,-1,-1,-1,-1,1,0,3,6716,6782,25,66,0,3.2
