variable,is_checkbox,hh,person,day,trip,vehicle,location,data_type,description,logic,shared_name,in_elmer_view,in_variable_list,information
age,0,0,1,0,0,0,0,integer/categorical,Age,Age,age,1,1,0
analyst_merged,0,0,0,0,1,0,0,integer/categorical,Analyst merged two or more trips,Analyst merged two or more trips,analyst_merged,1,0,1
analyst_split,0,0,0,0,1,0,0,integer/categorical,Analyst split trip,Analyst split trip,analyst_split,1,0,1
analyst_split_loop,0,0,0,0,1,0,0,integer/categorical,Analyst split loop trip into two trips,Analyst split loop trip into two trips,analyst_split_loop,1,0,1
arrival_time_hour,0,0,0,0,1,0,0,numeric,Arrival time hour,Arrival time hour,arrival_time_hour,1,1,0
arrival_time_minute,0,0,0,0,1,0,0,numeric,Arrival time minute,Arrival time minute,arrival_time_minute,1,1,0
arrival_time_second,0,0,0,0,1,0,0,numeric,Arrival time second,Arrival time second,arrival_time_second,1,1,0
arrival_time_timestamp,0,0,0,0,1,0,0,date-time,Arrival time timestamp,Arrival time timestamp,arrival_time_timestamp,0,1,0
arrive_date,0,0,0,0,1,0,0,date,Date of arrival,Date of arrival,arrive_date,1,1,0
arrive_dow,0,0,0,0,1,0,0,integer/categorical,Arrival day of week,Arrival day of week,arrive_dow,1,1,0
attend_school_1,1,0,0,1,0,0,0,integer/categorical,"Did child travel to school -- Yes, traveled to school","Did child travel to school -- Yes, traveled to school",attend_school,1,1,0
attend_school_2,1,0,0,1,0,0,0,integer/categorical,"Did child travel to school -- Yes, traveled to another location for school","Did child travel to school -- Yes, traveled to another location for school",attend_school,1,1,0
attend_school_3,1,0,0,1,0,0,0,integer/categorical,"Did child travel to school -- No, did not travel for school","Did child travel to school -- No, did not travel for school",attend_school,1,1,0
attend_school_998,1,0,0,1,0,0,0,integer/categorical,Did child travel to school -- Don't know,Did child travel to school -- Don't know,attend_school,1,1,0
attend_school_999,1,0,0,1,0,0,0,integer/categorical,Did child travel to school -- Prefer not to answer,Did child travel to school -- Prefer not to answer,attend_school,1,1,0
benefits_1,0,0,1,0,0,0,0,integer/categorical,Employer commuter benefits -- Flextime,Employer commuter benefits -- Flextime,benefits_1,1,1,0
benefits_2,0,0,1,0,0,0,0,integer/categorical,Employer commuter benefits -- Compressed Week,Employer commuter benefits -- Compressed Week,benefits_2,1,1,0
benefits_3,0,0,1,0,0,0,0,integer/categorical,Employer commuter benefits -- Free/partially subsidized passes/fares,Employer commuter benefits -- Free/partially subsidized passes/fares,benefits_3,1,1,0
benefits_4,0,0,1,0,0,0,0,integer/categorical,"Employer commuter benefits -- Other subsidized commute (vanpool, bike, etc.)","Employer commuter benefits -- Other subsidized commute (vanpool, bike, etc.)",benefits_4,1,1,0
bike_freq,0,0,1,0,0,0,0,integer/categorical,How often the person has ridden a bike outside for 15 or more minutes in the past 30 days,How often the person has ridden a bike outside for 15 or more minutes in the past 30 days,bike_freq,1,1,0
bike_freq_pre_2023,0,0,1,0,0,0,0,integer/categorical,Times ridden a bike in past 30 days,Times ridden a bike in past 30 days,bike_freq_pre_2023,1,1,0
broadband,0,1,0,0,0,0,0,integer/categorical,Broadband internet service at current residence,Broadband internet service at current residence,broadband,1,1,0
carshare_freq,0,0,1,0,0,0,0,integer/categorical,"How often the person has used carshare (e.g., Turo, ZipCar, Getaround, GIG) in the past 30 days","How often the person has used carshare (e.g., Turo, ZipCar, Getaround, GIG) in the past 30 days",carshare_freq,1,1,0
change_vehicles,0,0,0,0,1,0,0,integer/categorical,Changed vehicles at carpool start location,Changed vehicles at carpool start location,change_vehicles,1,1,0
commute_dur,0,0,1,0,0,0,0,integer/categorical,How long has been commuting to current location/office,How long has been commuting to current location/office,commute_dur,1,1,0
commute_freq,0,0,1,0,0,0,0,integer/categorical,How often commuted to workplace last week,How often commuted to workplace last week,commute_freq,1,1,0
commute_mode,0,0,1,0,0,0,0,integer/categorical,Method of commuting to work location/office last week,Method of commuting to work location/office last week,commute_mode,1,1,0
commute_subsidy_1,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Free (fully subsidized) transit passes or fares,Commute benefits provided by employer -- Free (fully subsidized) transit passes or fares,commute_subsidy,1,1,0
commute_subsidy_2,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Discounted (partially subsidized) transit passes or fares,Commute benefits provided by employer -- Discounted (partially subsidized) transit passes or fares,commute_subsidy,1,1,0
commute_subsidy_3,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Free (fully subsidized) parking at work,Commute benefits provided by employer -- Free (fully subsidized) parking at work,commute_subsidy,1,1,0
commute_subsidy_4,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Discounted (partially subsidized) parking at work,Commute benefits provided by employer -- Discounted (partially subsidized) parking at work,commute_subsidy,1,1,0
commute_subsidy_5,1,0,1,0,0,0,0,integer/categorical,"Commute benefits provided by employer -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)","Commute benefits provided by employer -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)",commute_subsidy,1,1,0
commute_subsidy_6,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Flextime (can adjust schedule as long as work the right number of total hours),Commute benefits provided by employer -- Flextime (can adjust schedule as long as work the right number of total hours),commute_subsidy,1,1,0
commute_subsidy_7,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Ability to work from home,Commute benefits provided by employer -- Ability to work from home,commute_subsidy,1,1,0
commute_subsidy_996,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- None of the above,Commute benefits provided by employer -- None of the above,commute_subsidy,1,1,0
commute_subsidy_998,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Don't know,Commute benefits provided by employer -- Don't know,commute_subsidy,1,1,0
commute_subsidy_use_1,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Free (fully subsidized) transit passes or fares,Commute benefit used -- Free (fully subsidized) transit passes or fares,commute_subsidy_use,1,1,0
commute_subsidy_use_2,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Discounted (partially subsidized) transit passes or fares,Commute benefit used -- Discounted (partially subsidized) transit passes or fares,commute_subsidy_use,1,1,0
commute_subsidy_use_3,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Free (fully subsidized) parking at work,Commute benefit used -- Free (fully subsidized) parking at work,commute_subsidy_use,1,1,0
commute_subsidy_use_4,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Discounted (partially subsidized) parking at work,Commute benefit used -- Discounted (partially subsidized) parking at work,commute_subsidy_use,1,1,0
commute_subsidy_use_5,1,0,1,0,0,0,0,integer/categorical,"Commute benefit used -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)","Commute benefit used -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)",commute_subsidy_use,1,1,0
commute_subsidy_use_6,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Flextime (can adjust schedule as long as work the right number of total hours),Commute benefit used -- Flextime (can adjust schedule as long as work the right number of total hours),commute_subsidy_use,1,1,0
commute_subsidy_use_7,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Ability to work from home,Commute benefit used -- Ability to work from home,commute_subsidy_use,1,1,0
